id,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,answer_correctness
world-cup-latest,Who won the most recent FIFA World Cup and what was the score?,"['The 2022 FIFA World Cup was an international football (soccer) tournament that took place in Qatar from November 20 to December 18, 2022. Argentina defeated France in the final match to win its third World Cup title.', ""France became the first team in history to score three goals in a World Cup final and lose. Messi was named the man of the match and won the Golden Ball as FIFA's best player of the tournament. He became the first player to win a second World Cup Golden Ball, having previously won it in 2014. The 2022 ..."", ""Torres was named the man of the ... for the most saves by a goalkeeper in a World Cup final. The match was the first ever World Cup final to include a halftime show, which caused the full halftime break to last over 27 minutes, against International Football Association Board (IFAB) protocol. Spain became the first country to simultaneously hold the men's and women's World Cup titles, having won the FIFA Women's World ..."", ""Rodri, #16 of Spain, lifts the FIFA World Cup Winner's Trophy after the team's 1-0 victory over Argentina in the final at MetLife Stadium in East Rutherford, N.J. on Sunday. It was Spain's second World Cup title."", ""Relive some of the best photos from Spain's dramatic FIFA World Cup final victory over Argentina.Relive some of the best photos from Spain's dramatic FIFA World Cup final victory over Argentina."", '13 Jun 2026 ... The FIFA World Cup 2022 final ended 3-3 in regulation time at Lusail Stadium in Doha before Argentina won 4-2 on penalties. At the end of\xa0...', ""FIFA World Cup, Final · ... Pen, 108' Ángel Di María - 36' Kylian Mbappé - 80' Pen, 81', 118' Pen · Argentina win 4-2 on penalties ·..."", '18 Jul 2026 ... FIFA details the World Cup winners from the past 12 tournaments including Italy, Argentina, West Germany, Brazil, France, Spain and Germany.', 'In 2022, Argentina won their third World Cup, after winning a penalty shoot-out against France following a 3–3 draw in the final. Argentina has also been runner\xa0...', 'Spain defeated Argentina to claim its second World Cup Championship 1-0 in extra time. The young Lamine Yamal denied all-time great Lionel Messi a final swan song.', 'Argentina were crowned the champions after winning the final against the title holder France 4–2 on penalties following a 3–3 draw after extra time. It was\xa0...', ""19 Jul 2026 ... Lionel Messi added to Argentina's glory by leading them to their third World Cup title in 2022. Argentina reached three of the last five finals\xa0...""]","The most recent FIFA World Cup was held in 2026, and Spain won the tournament by defeating Argentina 1–0 in extra time . The final took place at MetLife Stadium in East Rutherford, New Jersey. This victory marked Spain's second World Cup title.","Spain won the 2026 FIFA World Cup, beating Argentina 2-1 in the final at MetLife Stadium on July 19, 2026.",0.5,0.8826478719711304,,0.5926008820533752
capital-australia,What is the capital of Australia?,"['17, 2026, 4:18 PM ET (AP) Show less · Uluru/Ayers Rock, Northern Territory, AustraliaUluru/Ayers Rock, Uluru–Kata Tjuta National Park, southwestern Northern Territory, central Australia.(more) Australia, the smallest continent and one of the largest countries on Earth, lying between the Pacific and Indian oceans in the Southern Hemisphere. Australia’s capital is Canberra, located in the southeast between the larger and more important economic and cultural centres of Sydney and Melbourne.', 'The Australian government, in a major turnaround, announced on Thursday changes \u200bto its capital gains tax overhaul \u200cafter critics warned the planned reforms would stifle small businesses.', 'Canberra · Canberra is located in Australia · Canberra is located in Australian Capital Territory · Canberra is located in Oceania.', ""Glencore's planned secondary listing in Australia signals a push to tap one of the world's fastest-growing pools of institutional capital to fund its copper growth ambitions and \u200bpotentially pave the way for transformational M&A."", 'A century ago politicians in Canberra decided to split the Northern Territory in two and make a remote town the capital of a ...', 'The United States will ""stoutly defend its interests"", Defense Secretary Pete Hegseth told Chinese counterpart Dong Jun during a meeting on Friday in Kuala Lumpur, flagging the importance of maintaining a balance of power in the region.', 'Global Sports Editor Ossian Shine brings you Inside Track — your essential guide to the weekend in sport, from courtside to pitchside and beyond.', 'The NFL is returning to Munich with regular-season games scheduled for 2026 and 2028.', ""Australian authorities on Sunday downgraded a flood alert for a suburb of the country's largest city Sydney, after residents were evacuated due to rising waters sparked by torrential rains."", 'Australia will play world champions South Africa at Perth Stadium on September 27 and travel to their Eden Park graveyard two weeks later to meet New Zealand, Rugby Australia said on Monday.', 'Australian home prices suffered their steepest fall in three-and-a-half years in \u200bJune as a record housing boom succumbed to higher borrowing costs, while a tax clampdown on investment properties rattled buyers.', 'Australian achievements include the invention of atomic absorption spectroscopy, the essential components of Wi-Fi technology, and the development of the first commercially successful polymer banknote. As of 2026, 14 Australian scientists have been awarded the Nobel Prize in physics, chemistry ...']",The capital of Australia is Canberra .,Canberra.,1.0,,,
india-capital-gdp,Which city is India's financial capital and what is India's approximate GDP size in USD?,"[""11 Aug 2026 ... ... India's nominal GDP at USD 3.92 trillion for 2025-26, which makes India the sixth-largest economy in..."", ""NEW DELHI: (Aug 11) The International Monetary Fund (IMF) in its World Economic Outlook for April 2026 noted India's nominal GDP at USD 3.92 trillion for 2025-\xa0..."", 'Gross Domestic Product (GDP) of India ; 2025, $3,916,312,000,000, 7.6%, $2,675, 0.89% ; 2024, $3,760,814,000,000, 7.1%, $2,592, 0.89%.', ""World Economics estimates India's 2025 GDP at $19.875 trillion in PPP terms (Purchasing Power Parity) and an initial estimate of $21.167 trillion for 2026."", 'Economy of India ; Increase $725.727 billion (5th) (as of 06 February 2026) · –6.4% of GDP (2022–23) · ₹34.96 trillion (US$360 billion); (2025–26) · ₹50.65\xa0...', 'India’s balance of payments (BoP) is expected to record a surplus of around USD 50 billion in FY27, while the current account deficit (CAD) is likely to remain contained at about 1 per cent of GDP, ...', 'Mumbai is the financial, commercial, and entertainment capital of India—attracting migrants from all over the country. It is often compared to New York City,\xa0...', ""India's federal budget on Sunday doubled the tax holiday for businesses establishing operations in a low-tax city located in Prime Minister Narendra Modi's home state to 20 years."", ""India's western state of Gujarat has appointed veteran banker Uday Kotak as the chairman of GIFT City, replacing former bureaucrat Hasmukh Adhia, according to a notice by the state government."", ""As per the World Economic Outlook database (April 2026) published by the IMF, India's GDP at current prices is projected to be around $5.1 trillion by 2028-29, she said in a written reply."", '11 Aug 2026 ... ... 2025-26, which makes India the sixth ... ""The IMF\'s rankings are based on nominal GDP measured at prevailing US Dollar exchange rates.', 'India GDP - Read all the latest news headline updates on India GDP. Get all the India GDP breaking news updates, videos, photostories and more at Business Standard.']","Mumbai is India's financial capital .  

India's approximate nominal GDP size is USD 3.92 trillion for the fiscal year 2025–26 . This figure is based on the International Monetary Fund's (IMF) World Economic Outlook for April 2026 .",Mumbai is the financial capital; India's GDP is roughly 3.5-4 trillion USD.,1.0,0.8564178347587585,,
nobel-peace-recent,What organization or person won the most recent Nobel Peace Prize?,"[""The Nobel Peace Prize for 2025 is awarded to María Corina Machado. Watch the ... The Nobel Peace Prize is awarded on the day of Alfred Nobel's death\xa0..."", '13 Oct 2025 ... The Norwegian Nobel Committee has awarded the Nobel Peace Prize 2025 to Maria Corina Machado in recognition of her tireless efforts to promote\xa0...', 'Nobel Peace Prize 2025 · Maria Corina Machado · Explore prizes and laureates.', ""Trump and his obsession with the Nobel Peace Prize is a story that's not new. From 2018 to the present, he has been nominated ..."", 'Nobel Peace Prize 2025 · Maria Corina Machado · “It was a choice of ballots over bullets”.', 'Venezuelan opposition leader Maria Corina Machado was awarded the Nobel Peace Prize on October 10 for her efforts to bring democracy to Venezuela, challenging the iron-fisted rule of Nicolas Maduro, ...', 'Nobel Peace Prize laureate Maria Corina Machado appeared in Oslo early on Thursday, climbing barriers outside her hotel to hug well-wishers after the Venezuelan opposition figure failed to reach the Norwegian capital in time to receive her award at a ceremony held hours earlier.', 'Myanmar’s junta has said that detained former leader Aung San Suu Kyi is “in good health,” a day after her son told Reuters he has received little information about the 80-year-old’s condition and fears she could die without him knowing.', '10 Oct 2025 ... The Norwegian Nobel Committee has decided to award the 2025 #NobelPeacePrize to Maria Corina Machado for her tireless work promoting democratic\xa0...', ""10 Oct 2025 ... Oh my god… I have no words.” Listen to the emotional moment this year's laureate Maria Corina Machado finds out she has been awarded the\xa0..."", ""Hillary Clinton revealed Barack Obama's reaction after Michelle Obama's apparent jab at Trump."", 'AI slop is a threat to public information, democracy and the world as we know it, says Maria Ressa, who knows first-hand how ...']","The most recent Nobel Peace Prize, awarded in 2025, was won by María Corina Machado . She was recognized for her tireless efforts to promote democracy in Venezuela and her opposition to the authoritarian rule of Nicolás Maduro. The award was announced on 10 October 2025 by the Norwegian Nobel Committee . Machado received the prize in December 2025 after arriving in Oslo, though she missed the ceremony due to a travel ban .",Varies by year; answer must name a real recent laureate consistent with search results.,0.75,,,
python-creator,Who created the Python programming language and in what year was it first released?,"['Who. Python was created by Guido van Rossum and first released on February 20, 1991. While the word ""python"" might bring to mind a large\xa0...', '4 Mar 2026 ... The history of the Python programming language is that Guido van Rossum created and released it in 1991 at the CWI (Centrum Wiskunde en\xa0...', 'The programming language Python was conceived in the late 1980s, and its implementation was started in December 1989 by Guido van Rossum at CWI in the\xa0...', 'Guido van Rossum began working on Python in the late 1980s as a successor to the ABC programming language. Python 3.0, released in 2008, was a major revision\xa0...', '11 Jan 2026 ... Python is an interpreted, high-level, open-source programming language developed by Guido van Rossum that was released in 1991. Python is\xa0...', ""20 Feb 2026 ... In the late 1980's, Dutch programmer Guido Van Rossum created Python. He had been working at a computer science research center in the\xa0..."", '18 May 2026 ... Discover why Python is still the #1 programming language in 2026, powering AI, automation, data science, and future tech careers.', '25 Sept 2025 ... The documentary dispels a popular myth with a far more illuminating reality. The usual story is that Guido van Rossum invented Python over his\xa0...', '27 Jan 2026 ... 173 votes, 22 comments. Python 1.0 came out on January 27, 1994; exactly 32 years ago. Announcement here…', 'After a good three years, provider Qualcomm is tidying up the Python offshoot Mojo. The language is becoming more consistent, ...', 'Explore how the long-standing competitive moat of AI programming has been intentionally dismantled through groundbreaking, ...', 'Ada Lovelace, the pioneering mathematician of the 19th century, dreamed of machines that could do more than calculate. She ...']",The Python programming language was created by Guido van Rossum and was first released in 1991 .,"Guido van Rossum, first released in 1991.",1.0,0.9922425150871277,,
eu-members-count,How many member states are in the European Union?,"['In 2020, the United Kingdom became the only member state to leave the EU; ten countries are aspiring or negotiating to join it.', ""The European Union needs to adopt only a small number of reforms to boost economic growth sharply, increase competitiveness and maintain welfare programs, Alfred Kammer, head of the IMF's European department, told Reuters on Friday."", 'The following is the text of a Reuters Interview with ECB board member Isabel Schnabel.', ""European Union foreign ministers on Thursday agreed to include the Islamic Revolutionary Guard Corps on the bloc's list of terrorist organisations, putting the powerful guards in a category similar to that of Islamic State and al Qaeda and marking a symbolic shift in Europe's approach to Iran's leadership."", 'EU countries on Monday agreed their final negotiating positions for several proposed migration laws on new asylum rules, a common EU list of ""safe countries of origin"" and an EU-wide policy for illegal migrant returns, statements from the Council of the European Union said.', 'European Union leaders are meeting this week to discuss how to boost the bloc\'s competitiveness. While President Donald Trump’s withering description of Europe last month as a ""decaying"" region was unwelcome, it may be what finally prompts them to take much-needed action.', 'The central European country produces just 1.2% of the bloc’s GDP. However, an April election threatens Prime Minister Viktor Orbán’s 16-year rule as well as the influence of Vladimir Putin and Donald Trump. If he clings to power the EU can manage; defeat would make it stronger.', 'When Air Montenegro\'s passenger planes took to the skies earlier this year, they were branded with a new slogan: ""28 by 28 - The Next EU Member"".', ""The European Union targeted \u200bRussian shadow fleet figures accused of aiding Moscow's Ukraine war effort \u200cas well as individuals linked to opposition figure Alexei Navalny's murder as it expanded its sanctions list on Monday."", ""China is banning the export of dual-use items to 14 additional European Union entities with \u200bimmediate effect, the Commerce Ministry said on Friday, adding that the \u200cmeasure was in response to the EU's latest sanctions against Russia."", 'Joint Arab List leaders meet European Union ambassadors in Tel Aviv, urging greater European involvement in Israel and ...', 'Croatia is among the European record holders when it comes to firefighter numbers as the overall number within Europe has ...']","The European Union currently has 27 member states. The United Kingdom left the EU in 2020, reducing the total from 28 to 27 . No evidence in the provided sources indicates a change to this number by 2026.",27 member states.,0.5,0.9779593348503113,,
mars-mission,Which country's spacecraft was the first to successfully land on Mars?,"['Missions ; 22, Viking 1 · Entered Mars orbit on 19 June 1976 and operated until 1385 orbits. · Viking 1 lander was the First successful Mars lander. Deployed from\xa0...', ""NASA sent four astronauts on the world's first crewed lunar mission in half a century on Wednesday, in preparation for a first-ever manned landing on the moon's South Pole in 2028, as a space race between the United States \u200band China intensifies."", 'The planet Mars has been explored remotely by spacecraft. Probes sent from Earth, beginning in the late 20th century, have yielded a large increase in\xa0...', 'China sent three astronauts to its space station on Sunday, one of whom will stay for a \u200byear, a record length for the country, enabling the study of long-duration human physiology in space as Beijing works towards its ambition of a crewed moon \u200clanding by 2030.', ""India's space journey has evolved from transporting rocket parts on bicycles and launching its first sounding rocket at ..."", 'India observes National Space Day on Sunday, August 23, 2026, commemorating the successful soft landing of the Vikram lander ...', 'India has been observing National Space Day on August 23 since the historic success of its Moon mission, Chandrayaan-3. Here, ...', 'India celebrates National Space Day 2026 on August 23. Discover the official theme, history, Chandrayaan-3 legacy and ...', 'Gaganyaan is one of India’s most complex technological programmes, requiring a human-rated launch vehicle, crew module, ...', 'The ISRO Chairman laid out an ambitious roadmap for the current financial year. He said the organisation plans to realize 12 ...', 'Why unified payments interface is relevant to the UPSC exam? What is the significance of topics such as the number of ring of ...']","The first successful Mars lander was the Viking 1 lander, which was part of a mission by the United States.","The Soviet Union's Mars 3 in 1971 (first soft landing), though NASA's Viking 1 was the first fully successful mission in 1976.",0.5,0.7854679822921753,,
olympics-host,Which city hosted the most recent Summer Olympic Games?,"['Oklahoma City has unveiled a new brand and committment to the 2028 Summer Olympics.OKC will host two sporting events for the ...', ""Organizers of the 2028 Los Angeles Olympics on Tuesday announced the seven venues that will host the men's and women's group stage and knockout matches."", ""When Turin hosted the Winter Olympics 20 years ago, it transformed the city's image from grey industrial home of the troubled Fiat car-making empire to smart Mecca for food, culture and sport."", 'EMEA Sports Editor Mitch Phillips brings you Inside Track — your essential guide to the weekend in sport.', 'Global Sports Editor Ossian Shine brings you Inside Track — your essential guide to the weekend in sport, from courtside to pitchside and beyond.', 'Giorgia Meloni called anti-Olympics protesters ""enemies of Italy.""', ""The NWSL is aiming to capitalise on a golden period for soccer in the United States, with commissioner Jessica Berman pointing to the the LA28 Games and the 2031 Women's World Cup on home soil as catalysts for the sport's continued \u200brise."", 'In all, 32 sports will be part of the program for the Paris 2024 Olympic Games. Each sport has its own international ...', 'Team OKC will rally volunteers, businesses and community partners as Oklahoma City prepares to host seven Olympic events ...', 'Two years after the Olympic Games, a legacy designed to endure remains embedded in the French capital, reaching beyond competition and continuing to shape how residents engage with their surroundings ...', 'More than 6 million tickets for the 2028 Olympics have already sold, which is more than half the available inventory for the ...', 'Explore the scores and performances of each team (X) in archery. Follow the full results of the Paris 2024 Olympics with « Le ...']","The most recent Summer Olympic Games were hosted by Paris, France, in 2024 .",Paris hosted the 2024 Summer Olympics.,1.0,0.9446887373924255,,
quantum-supremacy,Which company first claimed quantum supremacy and with what processor?,"['12 Sept 2025 ... Google made a similar declaration of quantum supremacy in ... claim, with IBM publicly stating that quantum supremacy had not been reached.', '22 May 2026 ... The phrase quantum supremacy was coined by Caltech physicist John Preskill in 2012, and it became one of the most-watched and most-contested\xa0...', '30 Jul 2026 ... While IBM is hardly the first to claim quantum advantage—the quantum computing company D-Wave made the claim last year, and Google said it\xa0...', 'In quantum computing, quantum supremacy or quantum advantage is the goal of demonstrating that a programmable quantum computer can solve a problem that no\xa0...', ""5 Jun 2026 ... IBM's quantum hardware roadmap is anchored by the Heron processor family. The current generation – Heron r1 (133 qubits) and Heron r2/r3 (156\xa0..."", '31 Jul 2026 ... “First, they show that quantum computers can solve problems that go beyond the reach of classical methods that could run on the biggest\xa0...', 'IBM answered quantum computing trust problems with three verified results. Read why the technical breakthrough failed to move its stock on Wall Street.', 'U.S. strength in quantum computing and cryptography vies with China’s preeminence in quantum communication, with major new ...', '26 May 2026 ... PALO ALTO, Calif. — May 26, 2026 — D-Wave Quantum Inc. (NYSE: QBTS), (“D-Wave” or the “Company”)\xa0...', 'QpiAI opens an 8-inch quantum chip foundry in Bengaluru, targeting 10,000 physical qubits per QPU as it scales indigenous quantum hardware ...', 'The hardest idea in quantum mechanics to hold in a non-physicist’s head is that a thing can be in two states at once. Not ...', '2 Feb 2026 ... On October 23, 2019, Google published a landmark paper in Nature describing an experiment performed on their 53-qubit Sycamore processor. The\xa0...']",Google first claimed quantum supremacy in 2019 using its 53-qubit Sycamore processor .,"Google, with the 53-qubit Sycamore processor, in 2019.",0.3333333333333333,,,
deepest-ocean,What is the deepest known point in the ocean and how deep is it?,"['The Challenger Deep is the deepest known point of the seabed of Earth, located in the western Pacific Ocean at the southern end of the Mariana Trench,\xa0...', 'The Mariana Trench, a crescent-shaped scar in the floor of the western Pacific Ocean, holds the deepest known point on Earth.', 'The deepest known point on Earth lies not on any continent but in a crescent-shaped scar on the floor of the western Pacific ...', 'The deepest point on Earth that humans have ever set foot is within the depths of a mine located in rural northeastern ...', 'The Mariana Trench is the deepest oceanic trench on Earth, located in the western Pacific Ocean, about 200 kilometers (124 mi) east of the Mariana Islands.', '22 May 2026 ... In the crushing darkness of the hadal zone—deep ocean trenches plunging 6,000 m to nearly 11,000 m—scientists have uncovered a hidden\xa0...', ""In a groundbreaking discovery, scientists have identified a deep-sea crustacean, the amphipod Hirondellea gigas, which uses aluminum to survive in the Mariana Trench, one of Earth's most extreme ..."", 'Key points CSIRO is part of a major international effort to improve our understanding of the ocean through the use of a ...', 'Mount Everest is the standard by which people measure extreme height, its summit the highest point on the surface of the ...', 'The finalists for Ocean Photographer of the Year 2026 have been announced, featuring images that highlight the complexity and ...', 'Researchers have discovered evidence of water and ancient tectonic debris trapped hundreds of kilometres beneath the Eastern ...', 'Cerebras Systems Inc. (NASDAQ:CBRS) reported record second-quarter core revenue of $209.9 million, up 103% from a year ...']","The deepest known point in the ocean is the Challenger Deep, located in the western Pacific Ocean at the southern end of the Mariana Trench . It reaches a depth of approximately 10,984 meters (about 36,037 feet) below sea level.","Challenger Deep in the Mariana Trench, about 10,900-11,000 meters deep.",0.75,0.9666213989257812,,
