id,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,answer_correctness
world-cup-latest,Who won the most recent FIFA World Cup and what was the score?,"[""2022 FIFA World Cup final\n\nThe final match of the 2022 FIFA World Cup, the 22nd edition of FIFA's competition for men's national football teams, was played at Lusail Stadium in Lusail, Qatar, on 18 December 2022 (Qatari National Day), and was contested by Argentina and defending champions France. With a record 1.5 billion people watching on television, the final became one of the most widely watched televised sporting events in history.\n\nThe tournament was contested by hosts Qatar and 31 other teams who emerged victorious from the qualification phase, which was organised by the six FIFA confederations. The 32 teams competed in a group stage, from which 16 teams qualified for the knockout stage. En route to the final, Argentina finished first in Group C, first losing to Saudi Arabia 2–1, then defeating both Mexico and Poland 2–0. They then defeated Australia 2–1 in the round of 16, the Netherlands in the quarter-final through a penalty shoot-out after a 2–2 draw in extra time, and Croatia in the semi-final 3–0. France finished first in Group D with two wins and one loss (4–1 win over Australia, 2–1 win over Denmark, and a 1–0 loss to Tunisia). They defeated Poland 3–1 in the round of 16, England 2–1 in the quarter-final, and Morocco 2–0 in the semi-final. The final took place in front of 88,966 spectators and was refereed by Szymon Marciniak.\n\nArgentina took a 1–0 lead after Lionel Messi scored from a penalty kick in the 23rd minute. Ángel Di María made it 2—0 in the 36th minute with a low shot into the corner of the goal after a sweeping Argentina counterattack.…"", ""2026 FIFA World Cup Group I\n\nGroup I of the 2026 FIFA World Cup took place from June 16 to 26, 2026. The group consisted of France, Senegal, Iraq, and Norway.\n\nFrance and Norway secured their spots in the round of 32 after two group game wins each, with France topping the group after defeating Norway in their final group game.\n\nSenegal finished third with a decisive victory over Iraq, allowing them to advance as one of the eight best third-place teams. Iraq were eliminated after losing all three of their group stage matches, and their goal difference made them last place in this World Cup.\n\nAdditionally, this edition marked Iraq’s return to the tournament after only appearing in 1986, France played its first ever World Cup on U.S. soil after having missed the 1994 edition and Norway also returning since 1998.\n\nIn the round of 32:\n\nAll times listed are local, UTC−4 (EDT).\n\nThe teams had only met once prior, when Senegal defeated defending champions France 1–0 in a major upset at the opening match of the 2002 FIFA World Cup.\n\nIn the first half, Nicolas Jackson hit the post with a low shot from the left that came back off French goalkeeper Mike Maignan's leg and out for a corner. Just before half-time Ismaïla Sarr shot over the bar from six yards out after a low cross from Sadio Mané on the left.\n\nIn the second half, Mané appeared to catch Kylian Mbappé inside the box but after a VAR review no penalty was given.\nIn the 66th minute, Mbappé made it 1–0 when he finished with a low right foot first time shot to the left corner from the right after a pass from Michael Olise. In the 82nd minute, Substitute Bradley Barcola ran onto a pass from Adrien Rabiot before chipping the ball over Édouard Mendy and into the net from the right to make it 2–0.…""]","The most recent FIFA World Cup was held in 2022, and Argentina won the tournament. The final score was Argentina 3–3 France, with Argentina winning 4–2 in the penalty shootout after extra time. The match took place on 18 December 2022 at Lusail Stadium in Qatar .","Spain won the 2026 FIFA World Cup, beating Argentina 2-1 in the final at MetLife Stadium on July 19, 2026.",0.3333333333333333,0.8992517,0.0,0.17240041494369507
capital-australia,What is the capital of Australia?,"[""Canberra (/ˈkænbrə/ ⓘ KAN-brə; Ngunawal: Kanbarra) is the capital city of Australia and the largest population centre in the Australian Capital Territory. With an estimated population of 484,630 as of 2025, Canberra is Australia's largest inland city and the eighth-largest Australian ..."", ""What is the capital city of the Australian Capital Territory? The capital of the Australian Capital Territory (ACT) is Canberra. Canberra sits on the Molonglo River roughly 150 miles southwest of Sydney. In 1909, the site was chosen as the location for the new capital, and the ACT's delineation followed. Construction began in 1913, but was interrupted by World War I. The federal Parliament's official transfer from Melbourne to the new capital occurred on May 9, 1927."", ""Canberra is Australia's capital city, located in the Australian Capital Territory. It became the federal capital in 1927 after Parliament moved from Melbourne."", 'The capital of Australia is Canberra, located in the southeast between the larger cities of Sydney and Melbourne. Canberra occupies part of the Australian Capital Territory (ACT), in southeastern Australia, and lies astride the Molonglo River, ...', 'Canberra is Australia\'s capital, located inside the country\'s southeast coast. Surrounded by forest, farmland, and nature reserves, it earns its nickname, the ""\xa0...', ""In each state and internal territory, the capital is also the jurisdiction's most populous city. The Australian external territory of Norfolk Island has its official capital at Kingston, although this acts merely as the administrative centre of government; its de facto capital is Burnt Pine."", 'Australia flyhalf Tom Lynagh is in line to make his 2026 Super Rugby Pacific debut off the bench when the Queensland Reds take on the table-topping Wellington Hurricanes \u200bin the New Zealand capital on Saturday.', 'A century ago politicians in Canberra decided to split the Northern Territory in two and make a remote town the capital of a ...', 'Global Sports Editor Ossian Shine brings you Inside Track — your essential guide to the weekend in sport, from courtside to pitchside and beyond.', 'The NFL is returning to Munich with regular-season games scheduled for 2026 and 2028.', 'Berlin, Brighton and Amsterdam were the only cities on the continent to make the top 10 in the ranking from Time Out. View on ...', ""Housing advocacy group Everybody's Home says renting a unit now costs more than half the median take-home pay of a single ...""]","The capital of Australia is Canberra . It is located in the Australian Capital Territory (ACT) and became the federal capital in 1927 when Parliament moved from Melbourne . Canberra sits on the Molonglo River in southeastern Australia, between the cities of Sydney and Melbourne .",Canberra.,1.0,0.99999994,0.99999999998,0.34280911087989807
india-capital-gdp,Which city is India's financial capital and what is India's approximate GDP size in USD?,"[""New Delhi: The International Monetary Fund (IMF) in its World Economic Outlook for April 2026 noted India's nominal GDP at USD 3.92 trillion for 2025-26, which makes India the sixth-largest economy in the world, Parliament was informed on Tuesday."", ""India was the world's sixth-largest economy in 2025-26, with a nominal gross domestic product (GDP) of USD 3.92 trillion, according to the International Monetary Fund's April 2026 World Economic Outlook, Parliament was informed."", 'India’s richest cities in 2026 highlight the country’s fast-changing economy. Mumbai leads as the financial capital with the highest GDP, followed by Delhi, Bengaluru, Hyderabad, Chennai, Kolkata, Pune, Ahmedabad, Surat, and Visakhapatnam.', ""India''s nominal GDP hits $3.92 trillion by 2025-26, making it the world''s sixth-largest economy, as per IMF. Learn about government strategies for growth, declining bank NPAs, and fraud reduction."", 'New Delhi, Aug 17 (PTI) Rating agency ICRA on Monday estimated India’s GDP growth at a four-quarter low of 7 per cent in the ...', 'During the 2020s, India established ... alongside many other with world nations. In April 2025, the Indian economy temporarily surpassed Japan to become the fourth-largest economy in the world in terms of GDP (nominal)....', ""India's economy grew 8.2% year-on-year in July-September, accelerating from the 7.8% growth reported in the previous quarter, as strong consumer spending and manufacturing remained key drivers amid global trade uncertainties."", 'Gross domestic product (GDP) is the market value of all final goods and services from a nation in a given year. Countries are sorted by nominal GDP estimates from financial and statistical institutions, which are calculated at market or government official exchange rates.', ""India's economic growth is estimated to surge past most initial private and official forecasts, backed by robust domestic demand and government spending, helping New Delhi cope with punitive U.S. tariffs."", ""India's economy grew at its fastest pace in 18 months in the July-September period, lifted by robust consumer spending and front-loading of production ahead of local festivals and punitive U.S. tariffs."", ""India's federal budget on Sunday doubled the tax holiday for businesses establishing operations in a low-tax city located in Prime Minister Narendra Modi's home state to 20 years."", ""Japan's economy grew faster than initially estimated in the final three months of 2025, \u200cthanks to rapid business investment, revised data showed on Tuesday, although the Middle East conflict casts a shadow over the growth outlook.""]","India's financial capital is Mumbai .  
India's nominal GDP was approximately USD 3.92 trillion in the 2025-26 period, according to the IMF's April 2026 World Economic Outlook .",Mumbai is the financial capital; India's GDP is roughly 3.5-4 trillion USD.,1.0,0.8437558,0.999999999975,0.9821850657463074
nobel-peace-recent,What organization or person won the most recent Nobel Peace Prize?,"['10 Oct 2025 ... Venezuelan opposition leader María Corina Machado wins Nobel Peace Prize The current (2025) Nobel Peace Prize winner is Venezuelan opposition\xa0...', '13 Oct 2025 ... The Norwegian Nobel Committee has awarded the Nobel Peace Prize 2025 to Maria Corina Machado in recognition of her tireless efforts to promote\xa0...', 'Nobel Peace Prize 2025 · Maria Corina Machado · Explore prizes and laureates.', ""Trump and his obsession with the Nobel Peace Prize is a story that's not new. From 2018 to the present, he has been nominated ..."", 'The Nobel Peace Prize 2025 was awarded to Maria Corina Machado “for her tireless work promoting democratic rights for the people of Venezuela and for her\xa0...', 'As the Nobel Peace Prize 2025 announcement nears, Donald Trump looms large, sparking concerns in Norway over possible ...', 'Watch the Award Ceremony 10 December 2025. The Nobel Peace Prize for 2025 is awarded to María Corina Machado. Watch the live stream here.', 'Some 287 candidates will be considered for the 2026 Nobel Peace Prize, the Norwegian Nobel Committee said on Thursday, including 208 individuals and 79 organisations.', 'Venezuelan opposition leader Maria Corina Machado was awarded the Nobel Peace Prize on October 10 for her efforts to bring democracy to Venezuela, challenging the iron-fisted rule of Nicolas Maduro, ...', ""11 Dec 2025 ... Earlier on Wednesday, her daughter, Ana Corina Sosa, accepted the Nobel Peace Prize on her mother's behalf. Until Wednesday night, the\xa0..."", '10 Oct 2025 ... Finding out the news Maria Corina Machado, Nobel Peace Prize 2025.', 'Ms Machado is receiving the Nobel Peace Prize first and foremost for her efforts to advance democracy in Venezuela. But democracy is also in retreat\xa0...']","The most recent Nobel Peace Prize, awarded in 2025, was won by María Corina Machado, a Venezuelan opposition leader . She was recognized for her tireless efforts to promote democratic rights in Venezuela and her work challenging the rule of Nicolas Maduro . The prize was announced on 10 October 2025 , and the award ceremony took place on 10 December 2025 . Her daughter accepted the prize on her behalf, as Machado was unable to attend.",Varies by year; answer must name a real recent laureate consistent with search results.,,0.82876366,,0.07274837046861649
python-creator,Who created the Python programming language and in what year was it first released?,"['Who. Python was created by Guido van Rossum and first released on February 20, 1991. While the word ""python"" might bring to mind a large\xa0...', 'The programming language Python was conceived in the late 1980s, and its implementation was started in December 1989 by Guido van Rossum at CWI in the\xa0...', 'Guido van Rossum began working on Python in the late 1980s as a successor to the ABC programming language. Python 3.0, released in 2008, was a major revision\xa0...', '21 Jul 2026 ... Learn Python syntax variables, functions, loops and build your first programs in 2026. ... Created by Guido van Rossum in 1991, Python is widely\xa0...', '25 Sept 2025 ... The documentary dispels a popular myth with a far more illuminating reality. The usual story is that Guido van Rossum invented Python over his\xa0...', '27 Jan 2026 ... 173 votes, 22 comments. Python 1.0 came out on January 27, 1994; exactly 32 years ago. Announcement here…', 'Mojo programming language reaches 1.0 stable release after three years of API churn, ending breaking changes for production ...', 'Mojo programming language reaches 1.0 stable release after three years of API churn, ending breaking changes for production developers. An Oak Ridge National Laboratory study found Mojo GPU kernels ...', 'Ada Lovelace, a visionary ahead of her time, imagined programmable machines long before electronic computers came into being.', 'Ada Lovelace, the pioneering mathematician of the 19th century, dreamed of machines that could do more than calculate. She ...', 'Margaret Hamilton, a computer scientist from Indiana, played a crucial role in NASAs Apollo programme by leading the team ...', 'Spread the loveWhen it comes to advanced AI models, Anthropic’s Claude has quickly carved out a significant niche, offering capabilities that rival and, in some areas, even surpass its competitors. If ...']","The Python programming language was created by Guido van Rossum and was first released on February 20, 1991 .","Guido van Rossum, first released in 1991.",1.0,0.9922425,0.8055555555287036,0.8665755093097687
eu-members-count,How many member states are in the European Union?,"['The US president is getting his way with weak entities like the EU. But China, Russia, India and the Federal Reserve have so far stood firm, while court rulings may frustrate his tariff plans. Meanwhile, his popularity is waning and the midterm elections are barely a year away.', ""European Union foreign ministers on Thursday agreed to include the Islamic Revolutionary Guard Corps on the bloc's list of terrorist organisations, putting the powerful guards in a category similar to that of Islamic State and al Qaeda and marking a symbolic shift in Europe's approach to Iran's leadership."", 'EU countries on Monday agreed their final negotiating positions for several proposed migration laws on new asylum rules, a common EU list of ""safe countries of origin"" and an EU-wide policy for illegal migrant returns, statements from the Council of the European Union said.', 'Polish leader Donald Tusk has warned that he will respond to incursions into his country’s territory. This raises the possibility of Warsaw shooting down a Russian jet in 2026. That would make EU leaders spring into action and jointly establish a 200 bln euro defence fund.', 'The central European country produces just 1.2% of the bloc’s GDP. However, an April election threatens Prime Minister Viktor Orbán’s 16-year rule as well as the influence of Vladimir Putin and Donald Trump. If he clings to power the EU can manage; defeat would make it stronger.', 'When Air Montenegro\'s passenger planes took to the skies earlier this year, they were branded with a new slogan: ""28 by 28 - The Next EU Member"".', ""The European Union targeted \u200bRussian shadow fleet figures accused of aiding Moscow's Ukraine war effort \u200cas well as individuals linked to opposition figure Alexei Navalny's murder as it expanded its sanctions list on Monday."", ""In its 50-year history, the G7 has faced geopolitical catastrophes, from the 1970s oil crisis to the global fallout from \u200bTrump's military strikes against Iran."", ""China is banning the export of dual-use items to 14 additional European Union entities with \u200bimmediate effect, the Commerce Ministry said on Friday, adding that the \u200cmeasure was in response to the EU's latest sanctions against Russia."", 'List ; Cyprus · CY, 1 May 2004 ; Czechia, CZ, 1 May 2004 ; Denmark · DK, 1 January 1973 ; Estonia, EE, 1 May 2004\xa0...', ""By Claire Fu SINGAPORE, Aug 26 (Reuters) - The European Union is finding support on an opponent's turf ahead of trade talks ..."", 'Russia first restricted the ability of hauliers from the EU, the United Kingdom, Norway and Ukraine to enter its territory ...']","As of the most recent information available, the European Union has 27 member states. This number reflects the departure of the United Kingdom following Brexit. The list includes countries such as Cyprus, Czechia, Denmark, Estonia, and others, with their accession dates noted in the source .",27 member states.,0.5,0.97795933,0.16666666665,
mars-mission,Which country's spacecraft was the first to successfully land on Mars?,"[""20 Jul 2026 ... The first successful lander on Mars — NASA's three-legged Viking 1 — touched down safely on July 20, 1976, at 7:53 a.m. EDT."", ""20 Jul 2026 ... Fifty years ago, NASA's Viking 1 made history by becoming the first spacecraft to land safely on Mars. Launched on August 20, 1975, and landing\xa0..."", ""NASA's Viking Project found a place in history when it became the first U.S. mission to land a spacecraft safely on the surface of Mars and return images of the\xa0..."", ""14 Aug 2026 ... Fifty years ago, NASA's Viking 1 made history by becoming the first spacecraft to land safely on Mars. Launched on August 20, 1975, and landing\xa0..."", ""Viking: 50 Years on Mars ... The first successful lander on Mars — NASA's three-legged Viking 1 — touched down safely on July 20, 1976, at 7:53 a.m. EDT. A close-\xa0..."", ""20 Jul 2026 ... On July 20, 1976, Viking 1—the first successful Mars lander in history—touched down on the red planet. NASA's Viking Program sent two pairs\xa0..."", '20 Jul 2026 ... On July 20, 1976, Viking 1 made history as the first successful lander to reach the surface of Mars. Follow Space.com Website:\xa0...', 'Although the Soviet lander Mars 3 touched down on the Red Planet in December 1971, it failed less than two minutes after landing. The Viking missions were\xa0...', ""NASA sent four astronauts on the world's first crewed lunar mission in half a century on Wednesday, in preparation for a first-ever manned landing on the moon's South Pole in 2028, as a space race between the United States \u200band China intensifies."", 'The planet Mars has been explored remotely by spacecraft. Probes sent from Earth, beginning in the late 20th century, have yielded a large increase in\xa0...', ""7 Aug 2026 ... NASA's Viking 1 mission is most well-known for making the first truly successful landing on Mars, but the mission was more than just a huge\xa0..."", 'China sent three astronauts to its space station on Sunday, one of whom will stay for a \u200byear, a record length for the country, enabling the study of long-duration human physiology in space as Beijing works towards its ambition of a crewed moon \u200clanding by 2030.']","NASA's Viking 1, a spacecraft from the United States, was the first to successfully land on Mars. It touched down on July 20, 1976 . Although the Soviet Union's Mars 3 lander touched down in December 1971, it failed shortly after landing and did not achieve a successful surface mission .","The Soviet Union's Mars 3 in 1971 (first soft landing), though NASA's Viking 1 was the first fully successful mission in 1976.",1.0,0.9408115,0.7667594310341916,0.37281871835390723
olympics-host,Which city hosted the most recent Summer Olympic Games?,"['1 Dec 2025 ... Explanation: The 2024 Summer Olympics were hosted by Paris, France, marking a spectacular return of the Games to the City of Light after exactly\xa0...', 'Having previously hosted in 1900 and 1924, Paris became the second city ever to host the Summer Olympics three times, after London (1908, 1948, and 2012). Paris\xa0...', '19 Sept 2025 ... The Paris Olympic and Paralympic Games were a defining feature of summer 2024, with contrasting tourism trends across regions and periods.', 'Oklahoma City has unveiled a new brand and committment to the 2028 Summer Olympics.OKC will host two sporting events for the ...', 'The inaugural Games took place in 1896 in Athens, then part of the Kingdom of Greece, and the most recent was held in 2024 in Paris, France. This was the first\xa0...', ""When Turin hosted the Winter Olympics 20 years ago, it transformed the city's image from grey industrial home of the troubled Fiat car-making empire to smart Mecca for food, culture and sport."", 'EMEA Sports Editor Mitch Phillips brings you Inside Track — your essential guide to the weekend in sport.', 'Global Sports Editor Ossian Shine brings you Inside Track — your essential guide to the weekend in sport, from courtside to pitchside and beyond.', 'Giorgia Meloni called anti-Olympics protesters ""enemies of Italy.""', 'Host city announcement at the 131st IOC Session in Lima, Peru on 13 September 2017. Paris, France was chosen to host the Games of the XXXIIIrd Olympiad (2024),\xa0...', 'As Oklahoma City prepares to host Olympic events in two years, one of those events is changing its name. You may remember ...', 'Team OKC will rally volunteers, businesses and community partners as Oklahoma City prepares to host seven Olympic events ...']","The most recent Summer Olympic Games were hosted by Paris, France, in 2024 . This marked the third time Paris has hosted the Summer Olympics, following previous editions in 1900 and 1924 . The Games took place during the summer of 2024, with the official period running from July 26 to August 11, 2024 .",Paris hosted the 2024 Summer Olympics.,0.8,0.9076897,0.94999999997625,0.5747739523649216
quantum-supremacy,Which company first claimed quantum supremacy and with what processor?,"['Just last fall, in October 2019, Google made waves by announcing it had achieved “quantum supremacy” with its Sycamore processor, a 53-qubit behemoth that\xa0...', 'Quantum Computing in 2026 at a Glance · Theoretical Foundations (1980–1999) · The Hardware Race (2000–2015) · The Quantum Supremacy Era (2017–2020) · The Logical\xa0...', ""8 Dec 2025 ... Google's quantum supremacy experiment [google_supremacy_2019] was designed around random circuit sampling (RCS), a task that produces outputs\xa0..."", ""5 Jun 2026 ... IBM's quantum hardware roadmap is anchored by the Heron processor family. The current generation – Heron r1 (133 qubits) and Heron r2/r3 (156\xa0..."", 'In quantum computing, quantum supremacy or quantum advantage is the goal of demonstrating that a programmable quantum computer can solve a problem that no\xa0...', 'IBM answered quantum computing trust problems with three verified results. Read why the technical breakthrough failed to move its stock on Wall Street.', '2 Apr 2026 ... IBM has confirmed what researchers have pursued for decades — 2026 will be the year quantum computers outperform classical systems on\xa0...', '26 May 2026 ... PALO ALTO, Calif. — May 26, 2026 — D-Wave Quantum Inc. (NYSE: QBTS), (“D-Wave” or the “Company”)\xa0...', 'The hardest idea in quantum mechanics to hold in a non-physicist’s head is that a thing can be in two states at once. Not ...', 'Google says its quantum computing team has crossed a threshold that the field has chased for years: running a genuinely ...', 'The quantum threat to public-key cryptography is transitioning from a theoretical future to an immediate risk.', '2 Feb 2026 ... On October 23, 2019, Google published a landmark paper in Nature describing an experiment performed on their 53-qubit Sycamore processor. The\xa0...']",Google first claimed quantum supremacy in October 2019 using its 53-qubit Sycamore processor . The company published a landmark paper describing the experiment on this processor .,"Google, with the 53-qubit Sycamore processor, in 2019.",1.0,0.83396983,0.6388888888675925,0.7490528970956801
deepest-ocean,What is the deepest known point in the ocean and how deep is it?,"['The Mariana Trench, a crescent-shaped scar in the floor of the western Pacific Ocean, holds the deepest known point on Earth.', ""24 Feb 2026 ... The Mariana Trench reaches the deepest depths of the world's oceans, known as Challenger Deep, at 10,935 meters (35,876 feet) below sea level."", 'The deepest known point on Earth lies not on any continent but in a crescent-shaped scar on the floor of the western Pacific ...', '18 Jul 2026 ... The Deepest Ocean Points on Earth. Challenger Deep in the Mariana Trench reaches 6.8 miles (10.9 kilometers) below sea level, about one mile\xa0...', '15 Oct 2025 ... ... Mariana Trench in the western Pacific Ocean. It represents the ... depths, confirming the Challenger Deep as the deepest part of the ocean.', 'The Mariana Trench is the deepest oceanic trench on Earth, located in the western Pacific Ocean, about 200 kilometers (124 mi) east of the Mariana Islands.', 'The deepest point on Earth that humans have ever set foot is within the depths of a mine located in rural northeastern ...', '21 Nov 2025 ... Its maximum known depth lies within the Challenger Deep, a narrow, slot-shaped valley at the southern end of the trench. Measurements place this\xa0...', '12 Jan 2026 ... The Challenger Deep reaches an estimated depth of about 10,984 meters (approximately 36,037 feet or nearly 7 miles). However, exact measurements\xa0...', ""In a groundbreaking discovery, scientists have identified a deep-sea crustacean, the amphipod Hirondellea gigas, which uses aluminum to survive in the Mariana Trench, one of Earth's most extreme ..."", 'Mariana Trench ; 2,550 km (1,580 mi) · 69 km (43 mi) · 10,935 ± 6 meters (35,876 ± 20 ft; 5,979.3 ± 3.3 fathoms; 6.7947 ± 0.0037 mi) (Challenger Deep)\xa0...', 'Antarctica may look like a vast, frozen and unchanging landscape, but deep beneath its thick ice lies a surprisingly active ...']","The deepest known point in the ocean is Challenger Deep, located within the Mariana Trench in the western Pacific Ocean . 

The depth of Challenger Deep has been measured with slight variations across different sources:

- One measurement cites a depth of 10,935 meters (35,876 feet) below sea level .
- Another source estimates the depth at approximately 10,984 meters (36,037 feet) .
- Wikipedia provides a range of 10,935 ± 6 meters (35,876 ± 20 feet).

These values are consistent within measurement uncertainty, with the most recent and precise figure being 10,935 meters (35,876 feet).","Challenger Deep in the Mariana Trench, about 10,900-11,000 meters deep.",0.6666666666666666,0.9666214,0.9068813131199771,0.44162803888320923
